,Unnamed: 0,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
61,9018,21 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,04/14/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,997568.0,230379.0,"21 LENOX AVENUE, NEW YORK, NEW YORK","(40.7990105, -73.9522064)"
62,9019,21 JUMEL PLACE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,05/04/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1001915.0,245065.0,"21 JUMEL PLACE, NEW YORK, NEW YORK","(40.839443, -73.93593419999999)"
63,9048,2197 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,08/11/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,989634.0,224548.0,"2197 BROADWAY, NEW YORK, NEW YORK","(40.7783011, -73.9818248)"
64,9065,218 LAFAYETTE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,06/29/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,984951.0,202291.0,"218 LAFAYETTE STREET, NEW YORK, NEW YORK","(40.721993, -73.997789)"
65,9080,2184 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,11/01/2010 07:00:00 AM +0000,Open,Mail returned / wrong address,,1001747.0,245350.0,"2184 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8401712, -73.9368081)"
66,9128,2172 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,08/01/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1001649.0,245173.0,"2172 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.83973, -73.9374239)"
67,9147,216 EAST 125 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,8.0,02/01/2011 08:00:00 AM +0000,Open,Mail returned / wrong address,,1002182.0,231999.0,"216 EAST 125 STREET, NEW YORK, NEW YORK","(40.8027692, -73.9335443)"
68,9167,2160 3 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,8.0,10/08/2010 07:00:00 AM +0000,Open,Unspecified,,1001101.0,230440.0,"2160 3 AVENUE, NEW YORK, NEW YORK","(40.7992251, -73.93910369999999)"
69,9190,2155 7 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,02/25/2011 08:00:00 AM +0000,Open,Unspecified,,,,"2155 7 AVENUE, NEW YORK, NEW YORK","(40.8106893, -73.9469472)"
70,9191,2153 5 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,03/14/2011 07:00:00 AM +0000,Open,Unspecified,,,,"2153 5 AVENUE, NEW YORK, NEW YORK","(40.810419, -73.93892199999999)"
