,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
1291,821 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,3.0,06/20/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,987850.0,218413.0,"821 9 AVENUE, NEW YORK, NEW YORK","(40.76633200000001, -73.987206)"
1314,81 WADSWORTH TERRACE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,08/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1003448.0,251502.0,"81 WADSWORTH TERRACE, NEW YORK, NEW YORK","(40.8570147, -73.9306884)"
1317,81 WADSWORTH AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,07/22/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001741.0,247992.0,"81 WADSWORTH AVENUE, NEW YORK, NEW YORK","(40.847311, -73.936441)"
1320,81 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,01/14/2011 08:00:00 AM +0000,Open,Unspecified,,987183.0,200871.0,"81 LUDLOW STREET, NEW YORK, NEW YORK","(40.7181019, -73.98950119999999)"
1363,811 RIVERSIDE DRIVE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,06/13/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,999234.0,243530.0,"811 RIVERSIDE DRIVE, NEW YORK, NEW YORK","(40.835258, -73.94608)"
1391,80 NAGLE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/20/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1004147.0,252746.0,"80 NAGLE AVENUE, NEW YORK, NEW YORK","(40.860619, -73.92822199999999)"
1412,807 GREENWICH STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3.0,08/16/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,982459.0,208169.0,"807 GREENWICH STREET, NEW YORK, NEW YORK","(40.738035, -74.006288)"
1430,801 WEST 181 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,7.0,05/06/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1001286.0,249310.0,"801 WEST 181 STREET, NEW YORK, NEW YORK","(40.851305, -73.93847099999999)"
1432,801 WEST 181 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,7.0,08/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001286.0,249310.0,"801 WEST 181 STREET, NEW YORK, NEW YORK","(40.851305, -73.93847099999999)"
1463,7 SHERMAN AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/12/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1003851.0,253481.0,"7 SHERMAN AVENUE, NEW YORK, NEW YORK","(40.8622302, -73.92927639999999)"
1473,7 EAST 38 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,3.0,04/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,989221.0,212773.0,"7 EAST 38 STREET, NEW YORK, NEW YORK","(40.750929, -73.98169)"
1474,7 EAST 33 STREET,MANHATTAN,05 MANHATTAN,Unspecified,3.0,08/16/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,988540.0,211634.0,"7 EAST 33 STREET, NEW YORK, NEW YORK","(40.7476004, -73.9843179)"
1479,79 WADSWORTH TERRACE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/11/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1003430.0,251487.0,"79 WADSWORTH TERRACE, NEW YORK, NEW YORK","(40.8568985, -73.9308379)"
1488,79 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,07/06/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001462.0,245775.0,"79 AUDUBON AVENUE, NEW YORK, NEW YORK","(40.8412255, -73.9376693)"
1542,78 EAST 127 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,9.0,07/21/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1001181.0,233172.0,"78 EAST 127 STREET, NEW YORK, NEW YORK","(40.80637, -73.93875799999999)"
1592,77 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,09/23/2010 07:00:00 AM +0000,Open,Unspecified,,987135.0,200750.0,"77 LUDLOW STREET, NEW YORK, NEW YORK","(40.717814, -73.9896203)"
1666,76 WOOSTER STREET,MANHATTAN,02 MANHATTAN,Precinct 1,1.0,08/08/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,983807.0,202900.0,"76 WOOSTER STREET, NEW YORK, NEW YORK","(40.723559, -74.00132099999999)"
1671,76 WAVERLY PLACE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,06/29/2011 07:00:00 AM +0000,Open,Unspecified,,,,"76 WAVERLY PLACE, NEW YORK, NEW YORK","(40.7322062, -73.9986856)"
1677,76 EDGECOMBE AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,02/16/2011 08:00:00 AM +0000,Open,Mail returned / wrong address,,999088.0,237727.0,"76 EDGECOMBE AVENUE, NEW YORK, NEW YORK","(40.818982, -73.946208)"
1736,75 WEST HOUSTON STREET,MANHATTAN,02 MANHATTAN,Precinct 1,1.0,01/10/2011 08:00:00 AM +0000,Open,Unspecified,,984375.0,204049.0,"75 WEST HOUSTON STREET, NEW YORK, NEW YORK","(40.72667879999999, -73.9996572)"
