,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
8592,232 WEST 116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,07/20/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,997077.0,232087.0,"232 WEST 116 STREET, NEW YORK, NEW YORK","(40.8036079, -73.9542)"
8631,2319 3 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 25,8.0,07/21/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1002137.0,232299.0,"2319 3 AVENUE, NEW YORK, NEW YORK","(40.8043331, -73.93533769999999)"
8698,22 PELL STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,08/07/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,984757.0,199719.0,"22 PELL STREET, NEW YORK, NEW YORK","(40.7148636, -73.99824)"
8702,22 EAST 36 STREET,MANHATTAN,06 MANHATTAN,Precinct 17,3.0,08/18/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,989293.0,212138.0,"22 EAST 36 STREET, NEW YORK, NEW YORK","(40.7489182, -73.9817501)"
8705,229 WEST 28 STREET,MANHATTAN,05 MANHATTAN,Precinct 10,3.0,06/22/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,985816.0,211671.0,"229 WEST 28 STREET, NEW YORK, NEW YORK","(40.7478186, -73.9947352)"
8735,228 NAGLE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/14/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1005832.0,253561.0,"228 NAGLE AVENUE, NEW YORK, NEW YORK","(40.863011, -73.922005)"
8738,228 EAST 80 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,06/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,996432.0,221498.0,"228 EAST 80 STREET, NEW YORK, NEW YORK","(40.774227, -73.95564999999999)"
8751,2284 12 AVENUE,MANHATTAN,09 MANHATTAN,Precinct 26,7.0,07/15/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,995208.0,237353.0,"2284 12 AVENUE, NEW YORK, NEW YORK","(40.8185482, -73.96042419999999)"
8808,225 WEST 115 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,04/18/2011 07:00:00 AM +0000,Open,Unspecified,,996991.0,231817.0,"225 WEST 115 STREET, NEW YORK, NEW YORK","(40.803323, -73.95429299999999)"
8813,225 EAST HOUSTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,08/01/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,987999.0,202424.0,"225 EAST HOUSTON STREET, NEW YORK, NEW YORK","(40.7221254, -73.9866184)"
8937,2224 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,05/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1001998.0,245806.0,"2224 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.841475, -73.936144)"
8970,2212 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,06/24/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,989746.0,224762.0,"2212 BROADWAY, NEW YORK, NEW YORK","(40.7783011, -73.9818248)"
9008,2200 3 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 25,8.0,06/04/2011 07:00:00 AM +0000,Open,Unspecified,,1001391.0,230966.0,"2200 3 AVENUE, NEW YORK, NEW YORK","(40.8005447, -73.9381417)"
9018,21 LENOX AVENUE,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,04/14/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,997568.0,230379.0,"21 LENOX AVENUE, NEW YORK, NEW YORK","(40.7990105, -73.9522064)"
9019,21 JUMEL PLACE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,05/04/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1001915.0,245065.0,"21 JUMEL PLACE, NEW YORK, NEW YORK","(40.839443, -73.93593419999999)"
9048,2197 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,08/11/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,989634.0,224548.0,"2197 BROADWAY, NEW YORK, NEW YORK","(40.7783011, -73.9818248)"
9065,218 LAFAYETTE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,06/29/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,984951.0,202291.0,"218 LAFAYETTE STREET, NEW YORK, NEW YORK","(40.721993, -73.997789)"
9080,2184 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,11/01/2010 07:00:00 AM +0000,Open,Mail returned / wrong address,,1001747.0,245350.0,"2184 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8401712, -73.9368081)"
